"","Compartment","Day","Treatment","Stage","Block","Order"
"RS-7NPK-4","RS",60,"Ctrl","D60",2,4
"RS-7NPK-5","RS",60,"Ctrl","D60",2,5
"RS-7NPK-6","RS",60,"Ctrl","D60",2,6
"RS-7NPK-7","RS",60,"Ctrl","D60",3,7
"RS-7NPK-8","RS",60,"Ctrl","D60",3,8
"RS-7NPK-9","RS",60,"Ctrl","D60",3,9
"RS-7PK-1","RS",60,"-N","D60",1,1
"RS-7PK-2","RS",60,"-N","D60",1,2
"RS-7PK-3","RS",60,"-N","D60",1,3
"RS-7PK-4","RS",60,"-N","D60",2,4
"RS-7PK-5","RS",60,"-N","D60",2,5
"RS-7PK-6","RS",60,"-N","D60",2,6
"RS-7PK-7","RS",60,"-N","D60",3,7
"RS-7PK-8","RS",60,"-N","D60",3,8
"RS-7PK-9","RS",60,"-N","D60",3,9
"RS-8NK-1","RS",72,"-P","D72",1,1
"RS-8NK-2","RS",72,"-P","D72",1,2
"RS-8NK-3","RS",72,"-P","D72",1,3
"RS-8NK-4","RS",72,"-P","D72",2,4
"RS-8NK-5","RS",72,"-P","D72",2,5
"RS-8NK-6","RS",72,"-P","D72",2,6
"RS-8NK-7","RS",72,"-P","D72",3,7
"RS-8NK-8","RS",72,"-P","D72",3,8
"RS-8NK-9","RS",72,"-P","D72",3,9
"RS-8NP-1","RS",72,"-K","D72",1,1
"RS-8NP-2","RS",72,"-K","D72",1,2
"RS-8NP-3","RS",72,"-K","D72",1,3
"RS-8NP-4","RS",72,"-K","D72",2,4
"RS-8NP-5","RS",72,"-K","D72",2,5
"RS-8NP-6","RS",72,"-K","D72",2,6
"RS-8NP-7","RS",72,"-K","D72",3,7
"RS-8NP-8","RS",72,"-K","D72",3,8
"RS-8NP-9","RS",72,"-K","D72",3,9
"RS-8NPK-1","RS",72,"Ctrl","D72",1,1
"RS-8NPK-2","RS",72,"Ctrl","D72",1,2
"RS-8NPK-3","RS",72,"Ctrl","D72",1,3
"RS-8NPK-4","RS",72,"Ctrl","D72",2,4
"RS-8NPK-5","RS",72,"Ctrl","D72",2,5
"RS-8NPK-6","RS",72,"Ctrl","D72",2,6
"RS-8NPK-7","RS",72,"Ctrl","D72",3,7
"RS-8NPK-8","RS",72,"Ctrl","D72",3,8
"RS-8NPK-9","RS",72,"Ctrl","D72",3,9
"RS-8PK-1","RS",72,"-N","D72",1,1
"RS-8PK-2","RS",72,"-N","D72",1,2
"RS-8PK-3","RS",72,"-N","D72",1,3
"RS-8PK-4","RS",72,"-N","D72",2,4
"RS-8PK-5","RS",72,"-N","D72",2,5
"RS-8PK-6","RS",72,"-N","D72",2,6
"RS-8PK-7","RS",72,"-N","D72",3,7
"RS-8PK-8","RS",72,"-N","D72",3,8
"RS-8PK-9","RS",72,"-N","D72",3,9
